datasetSize;arrayType;sortType;operations
3200;AlmostSorted;bubbleSort;46193722
3200;ReversedSorted;bubbleSort;66545598
3300;Random(0-5);bubbleSort;58126240
3300;Random(0-4000);bubbleSort;59942756
3300;AlmostSorted;bubbleSort;49120580
3300;ReversedSorted;bubbleSort;70770148
3400;Random(0-5);bubbleSort;61758942
3400;Random(0-4000);bubbleSort;63688166
3400;AlmostSorted;bubbleSort;52138610
3400;ReversedSorted;bubbleSort;75124698
3500;Random(0-5);bubbleSort;65497944
3500;Random(0-4000);bubbleSort;67546324
3500;AlmostSorted;bubbleSort;55248068
3500;ReversedSorted;bubbleSort;79609248
3600;Random(0-5);bubbleSort;69271158
3600;Random(0-4000);bubbleSort;71434790
3600;AlmostSorted;bubbleSort;58448398
3600;ReversedSorted;bubbleSort;84223798
3700;Random(0-5);bubbleSort;73210720
3700;Random(0-4000);bubbleSort;75499084
3700;AlmostSorted;bubbleSort;61743668
3700;ReversedSorted;bubbleSort;88968348
3800;Random(0-5);bubbleSort;77205510
3800;Random(0-4000);bubbleSort;79620394
3800;AlmostSorted;bubbleSort;65123734
3800;ReversedSorted;bubbleSort;93842898
3900;Random(0-5);bubbleSort;81301104
3900;Random(0-4000);bubbleSort;83841148
3900;AlmostSorted;bubbleSort;68596352
3900;ReversedSorted;bubbleSort;98847448
4000;Random(0-5);bubbleSort;85511794
4000;Random(0-4000);bubbleSort;88186022
4000;AlmostSorted;bubbleSort;72160078
4000;ReversedSorted;bubbleSort;103981998
4100;Random(0-5);bubbleSort;89807416
4100;Random(0-4000);bubbleSort;92607852
4100;AlmostSorted;bubbleSort;77404428
4100;ReversedSorted;bubbleSort;109246548
50;Random(0-5);bubbleSortAiverson1;13122
50;Random(0-4000);bubbleSortAiverson1;14072
50;AlmostSorted;bubbleSortAiverson1;1537
50;ReversedSorted;bubbleSortAiverson1;17302
100;Random(0-5);bubbleSortAiverson1;50777
100;Random(0-4000);bubbleSortAiverson1;54872
100;AlmostSorted;bubbleSortAiverson1;30156
100;ReversedSorted;bubbleSortAiverson1;69602
150;Random(0-5);bubbleSortAiverson1;120079
150;Random(0-4000);bubbleSortAiverson1;125941
150;AlmostSorted;bubbleSortAiverson1;49311
150;ReversedSorted;bubbleSortAiverson1;156902
200;Random(0-5);bubbleSortAiverson1;216087
200;Random(0-4000);bubbleSortAiverson1;226947
200;AlmostSorted;bubbleSortAiverson1;68616
200;ReversedSorted;bubbleSortAiverson1;279202
250;Random(0-5);bubbleSortAiverson1;342922
250;Random(0-4000);bubbleSortAiverson1;361087
250;AlmostSorted;bubbleSortAiverson1;88066
250;ReversedSorted;bubbleSortAiverson1;436502
300;Random(0-5);bubbleSortAiverson1;491682
300;Random(0-4000);bubbleSortAiverson1;518281
300;AlmostSorted;bubbleSortAiverson1;107771
300;ReversedSorted;bubbleSortAiverson1;628802
400;Random(0-5);bubbleSortAiverson1;871176
400;Random(0-4000);bubbleSortAiverson1;919281
400;AlmostSorted;bubbleSortAiverson1;643546
400;ReversedSorted;bubbleSortAiverson1;1118402
500;Random(0-5);bubbleSortAiverson1;1359407
500;Random(0-4000);bubbleSortAiverson1;1434342
500;AlmostSorted;bubbleSortAiverson1;1118372
500;ReversedSorted;bubbleSortAiverson1;1748002
600;Random(0-5);bubbleSortAiverson1;1955339
600;Random(0-4000);bubbleSortAiverson1;2063326
600;AlmostSorted;bubbleSortAiverson1;1508132
600;ReversedSorted;bubbleSortAiverson1;2517602
700;Random(0-5);bubbleSortAiverson1;2661741
700;Random(0-4000);bubbleSortAiverson1;2818831
700;AlmostSorted;bubbleSortAiverson1;1898237
700;ReversedSorted;bubbleSortAiverson1;3427202
800;Random(0-5);bubbleSortAiverson1;3480419
