datasetSize;arrayType;sortType;time
500;AlmostSorted;bubbleSortAiverson1;487179
500;ReversedSorted;bubbleSortAiverson1;1553253
600;Random(0-5);bubbleSortAiverson1;1850366
600;Random(0-4000);bubbleSortAiverson1;1990739
600;AlmostSorted;bubbleSortAiverson1;647051
600;ReversedSorted;bubbleSortAiverson1;2134473
700;Random(0-5);bubbleSortAiverson1;2555945
700;Random(0-4000);bubbleSortAiverson1;2718751
700;AlmostSorted;bubbleSortAiverson1;801564
700;ReversedSorted;bubbleSortAiverson1;2902172
800;Random(0-5);bubbleSortAiverson1;3370155
800;Random(0-4000);bubbleSortAiverson1;4034232
800;AlmostSorted;bubbleSortAiverson1;1268288
800;ReversedSorted;bubbleSortAiverson1;3938165
900;Random(0-5);bubbleSortAiverson1;4251423
900;Random(0-4000);bubbleSortAiverson1;4489973
900;AlmostSorted;bubbleSortAiverson1;1819169
900;ReversedSorted;bubbleSortAiverson1;5024210
1000;Random(0-5);bubbleSortAiverson1;5501787
1000;Random(0-4000);bubbleSortAiverson1;5991503
1000;AlmostSorted;bubbleSortAiverson1;1870764
1000;ReversedSorted;bubbleSortAiverson1;6083080
1100;Random(0-5);bubbleSortAiverson1;6420372
1100;Random(0-4000);bubbleSortAiverson1;7118316
1100;AlmostSorted;bubbleSortAiverson1;2180862
1100;ReversedSorted;bubbleSortAiverson1;7380979
1200;Random(0-5);bubbleSortAiverson1;8187045
1200;Random(0-4000);bubbleSortAiverson1;8283238
1200;AlmostSorted;bubbleSortAiverson1;2698649
1200;ReversedSorted;bubbleSortAiverson1;9027061
1300;Random(0-5);bubbleSortAiverson1;9061049
1300;Random(0-4000);bubbleSortAiverson1;9548303
1300;AlmostSorted;bubbleSortAiverson1;2814698
1300;ReversedSorted;bubbleSortAiverson1;10428336
1400;Random(0-5);bubbleSortAiverson1;11302110
1400;Random(0-4000);bubbleSortAiverson1;12319308
1400;AlmostSorted;bubbleSortAiverson1;3120800
1400;ReversedSorted;bubbleSortAiverson1;11766606
1500;Random(0-5);bubbleSortAiverson1;12583144
1500;Random(0-4000);bubbleSortAiverson1;12630780
1500;AlmostSorted;bubbleSortAiverson1;3931517
1500;ReversedSorted;bubbleSortAiverson1;13104449
1600;Random(0-5);bubbleSortAiverson1;13095787
1600;Random(0-4000);bubbleSortAiverson1;14322983
1600;AlmostSorted;bubbleSortAiverson1;3758131
1600;ReversedSorted;bubbleSortAiverson1;15554757
1700;Random(0-5);bubbleSortAiverson1;15158459
1700;Random(0-4000);bubbleSortAiverson1;15748583
1700;AlmostSorted;bubbleSortAiverson1;4061653
1700;ReversedSorted;bubbleSortAiverson1;17252811
1800;Random(0-5);bubbleSortAiverson1;18005258
1800;Random(0-4000);bubbleSortAiverson1;18235421
1800;AlmostSorted;bubbleSortAiverson1;4375811
1800;ReversedSorted;bubbleSortAiverson1;18856736
1900;Random(0-5);bubbleSortAiverson1;19121668
1900;Random(0-4000);bubbleSortAiverson1;19768581
1900;AlmostSorted;bubbleSortAiverson1;5702329
1900;ReversedSorted;bubbleSortAiverson1;21792569
2000;Random(0-5);bubbleSortAiverson1;20375529
2000;Random(0-4000);bubbleSortAiverson1;23709618
2000;AlmostSorted;bubbleSortAiverson1;5424140
2000;ReversedSorted;bubbleSortAiverson1;23140921
2100;Random(0-5);bubbleSortAiverson1;23539492
2100;Random(0-4000);bubbleSortAiverson1;24541566
2100;AlmostSorted;bubbleSortAiverson1;5605333
2100;ReversedSorted;bubbleSortAiverson1;26546175
2200;Random(0-5);bubbleSortAiverson1;25483540
2200;Random(0-4000);bubbleSortAiverson1;28827729
2200;AlmostSorted;bubbleSortAiverson1;6187872
2200;ReversedSorted;bubbleSortAiverson1;30600481
2300;Random(0-5);bubbleSortAiverson1;28721774
2300;Random(0-4000);bubbleSortAiverson1;31991157
2300;AlmostSorted;bubbleSortAiverson1;6107593
2300;ReversedSorted;bubbleSortAiverson1;32285331
2400;Random(0-5);bubbleSortAiverson1;30968449
2400;Random(0-4000);bubbleSortAiverson1;32472756
2400;AlmostSorted;bubbleSortAiverson1;7214408
2400;ReversedSorted;bubbleSortAiverson1;35046862
2500;Random(0-5);bubbleSortAiverson1;32458459
2500;Random(0-4000);bubbleSortAiverson1;37073046
2500;AlmostSorted;bubbleSortAiverson1;6815118
2500;ReversedSorted;bubbleSortAiverson1;37648283
2600;Random(0-5);bubbleSortAiverson1;35869913
2600;Random(0-4000);bubbleSortAiverson1;39594441
2600;AlmostSorted;bubbleSortAiverson1;7111662
2600;ReversedSorted;bubbleSortAiverson1;41628334
2700;Random(0-5);bubbleSortAiverson1;38386781
2700;Random(0-4000);bubbleSortAiverson1;41913024
2700;AlmostSorted;bubbleSortAiverson1;7566087
2700;ReversedSorted;bubbleSortAiverson1;45479452
2800;Random(0-5);bubbleSortAiverson1;42163190
2800;Random(0-4000);bubbleSortAiverson1;44045537
2800;AlmostSorted;bubbleSortAiverson1;8165934
2800;ReversedSorted;bubbleSortAiverson1;48186378
2900;Random(0-5);bubbleSortAiverson1;44607628
2900;Random(0-4000);bubbleSortAiverson1;48060853
2900;AlmostSorted;bubbleSortAiverson1;8596619
2900;ReversedSorted;bubbleSortAiverson1;51197273
3000;Random(0-5);bubbleSortAiverson1;48407243
3000;Random(0-4000);bubbleSortAiverson1;50876627
3000;AlmostSorted;bubbleSortAiverson1;8811016
3000;ReversedSorted;bubbleSortAiverson1;55162973
3100;Random(0-5);bubbleSortAiverson1;51185210
3100;Random(0-4000);bubbleSortAiverson1;54710487
3100;AlmostSorted;bubbleSortAiverson1;8676677
3100;ReversedSorted;bubbleSortAiverson1;58525920
3200;Random(0-5);bubbleSortAiverson1;54335858
3200;Random(0-4000);bubbleSortAiverson1;60153828
3200;AlmostSorted;bubbleSortAiverson1;9456254
3200;ReversedSorted;bubbleSortAiverson1;62857329
3300;Random(0-5);bubbleSortAiverson1;56784162
3300;Random(0-4000);bubbleSortAiverson1;62467921
3300;AlmostSorted;bubbleSortAiverson1;9340534
3300;ReversedSorted;bubbleSortAiverson1;67858383
3400;Random(0-5);bubbleSortAiverson1;62237763
3400;Random(0-4000);bubbleSortAiverson1;67199252
3400;AlmostSorted;bubbleSortAiverson1;9758303
3400;ReversedSorted;bubbleSortAiverson1;87595508
3500;Random(0-5);bubbleSortAiverson1;68385298
3500;Random(0-4000);bubbleSortAiverson1;72779922
3500;AlmostSorted;bubbleSortAiverson1;10891158
3500;ReversedSorted;bubbleSortAiverson1;78459273
3600;Random(0-5);bubbleSortAiverson1;72157285
3600;Random(0-4000);bubbleSortAiverson1;73899018
3600;AlmostSorted;bubbleSortAiverson1;10614629
3600;ReversedSorted;bubbleSortAiverson1;79399773
3700;Random(0-5);bubbleSortAiverson1;71301965
3700;Random(0-4000);bubbleSortAiverson1;78168655
3700;AlmostSorted;bubbleSortAiverson1;10912712
3700;ReversedSorted;bubbleSortAiverson1;79227612
3800;Random(0-5);bubbleSortAiverson1;75372117
3800;Random(0-4000);bubbleSortAiverson1;80319570
3800;AlmostSorted;bubbleSortAiverson1;10995330
3800;ReversedSorted;bubbleSortAiverson1;82511200
3900;Random(0-5);bubbleSortAiverson1;80521544
3900;Random(0-4000);bubbleSortAiverson1;89406825
3900;AlmostSorted;bubbleSortAiverson1;11489953
3900;ReversedSorted;bubbleSortAiverson1;94657432
4000;Random(0-5);bubbleSortAiverson1;84632518
4000;Random(0-4000);bubbleSortAiverson1;88300503
4000;AlmostSorted;bubbleSortAiverson1;11652283
4000;ReversedSorted;bubbleSortAiverson1;94253715
4100;Random(0-5);bubbleSortAiverson1;85740990
4100;Random(0-4000);bubbleSortAiverson1;92690224
4100;AlmostSorted;bubbleSortAiverson1;33801823
4100;ReversedSorted;bubbleSortAiverson1;99108888
50;Random(0-5);bubbleSortAiversonAll;10330
50;Random(0-4000);bubbleSortAiversonAll;10437
50;AlmostSorted;bubbleSortAiversonAll;920
50;ReversedSorted;bubbleSortAiversonAll;14442
100;Random(0-5);bubbleSortAiversonAll;35590
100;Random(0-4000);bubbleSortAiversonAll;42560
100;AlmostSorted;bubbleSortAiversonAll;8249
100;ReversedSorted;bubbleSortAiversonAll;57461
150;Random(0-5);bubbleSortAiversonAll;91958
150;Random(0-4000);bubbleSortAiversonAll;98434
150;AlmostSorted;bubbleSortAiversonAll;10219
150;ReversedSorted;bubbleSortAiversonAll;133104
200;Random(0-5);bubbleSortAiversonAll;157562
200;Random(0-4000);bubbleSortAiversonAll;175143
200;AlmostSorted;bubbleSortAiversonAll;12714
200;ReversedSorted;bubbleSortAiversonAll;235363
250;Random(0-5);bubbleSortAiversonAll;260700
250;Random(0-4000);bubbleSortAiversonAll;289763
250;AlmostSorted;bubbleSortAiversonAll;15124
250;ReversedSorted;bubbleSortAiversonAll;358379
300;Random(0-5);bubbleSortAiversonAll;377167
300;Random(0-4000);bubbleSortAiversonAll;421516
300;AlmostSorted;bubbleSortAiversonAll;22211
300;ReversedSorted;bubbleSortAiversonAll;535923
400;Random(0-5);bubbleSortAiversonAll;702890
400;Random(0-4000);bubbleSortAiversonAll;757317
400;AlmostSorted;bubbleSortAiversonAll;247261
400;ReversedSorted;bubbleSortAiversonAll;933782
500;Random(0-5);bubbleSortAiversonAll;1089994
500;Random(0-4000);bubbleSortAiversonAll;1182557
500;AlmostSorted;bubbleSortAiversonAll;463940
500;ReversedSorted;bubbleSortAiversonAll;1450232
600;Random(0-5);bubbleSortAiversonAll;1620792
600;Random(0-4000);bubbleSortAiversonAll;1739227
600;AlmostSorted;bubbleSortAiversonAll;471723
600;ReversedSorted;bubbleSortAiversonAll;2105603
700;Random(0-5);bubbleSortAiversonAll;2246390
700;Random(0-4000);bubbleSortAiversonAll;2414874
700;AlmostSorted;bubbleSortAiversonAll;477506
700;ReversedSorted;bubbleSortAiversonAll;2852321
800;Random(0-5);bubbleSortAiversonAll;2943263
800;Random(0-4000);bubbleSortAiversonAll;3175807
800;AlmostSorted;bubbleSortAiversonAll;1038479
800;ReversedSorted;bubbleSortAiversonAll;3731613
900;Random(0-5);bubbleSortAiversonAll;3789228
900;Random(0-4000);bubbleSortAiversonAll;4080808
900;AlmostSorted;bubbleSortAiversonAll;1503029
900;ReversedSorted;bubbleSortAiversonAll;4699480
1000;Random(0-5);bubbleSortAiversonAll;4761534
1000;Random(0-4000);bubbleSortAiversonAll;5117532
1000;AlmostSorted;bubbleSortAiversonAll;1625183
1000;ReversedSorted;bubbleSortAiversonAll;5844014
1100;Random(0-5);bubbleSortAiversonAll;5763643
1100;Random(0-4000);bubbleSortAiversonAll;6195631
1100;AlmostSorted;bubbleSortAiversonAll;1625565
1100;ReversedSorted;bubbleSortAiversonAll;7007946
1200;Random(0-5);bubbleSortAiversonAll;6935215
1200;Random(0-4000);bubbleSortAiversonAll;7455164
1200;AlmostSorted;bubbleSortAiversonAll;1668613
1200;ReversedSorted;bubbleSortAiversonAll;8392326
1300;Random(0-5);bubbleSortAiversonAll;8260312
1300;Random(0-4000);bubbleSortAiversonAll;8845980
1300;AlmostSorted;bubbleSortAiversonAll;1674614
1300;ReversedSorted;bubbleSortAiversonAll;9888638
1400;Random(0-5);bubbleSortAiversonAll;9663926
1400;Random(0-4000);bubbleSortAiversonAll;10345840
1400;AlmostSorted;bubbleSortAiversonAll;1747742
1400;ReversedSorted;bubbleSortAiversonAll;11468789
1500;Random(0-5);bubbleSortAiversonAll;11098791
1500;Random(0-4000);bubbleSortAiversonAll;11895691
1500;AlmostSorted;bubbleSortAiversonAll;1765977
1500;ReversedSorted;bubbleSortAiversonAll;13110727
1600;Random(0-5);bubbleSortAiversonAll;12711062
1600;Random(0-4000);bubbleSortAiversonAll;13575646
